step,tl_name,actions,phase,reward
25245,미래부동산삼거리,0,2,0
25245,충대농대삼거리,0,2,0
25245,다솔APT삼거리,0,2,0
25245,유성구청네거리,0,0,0
25245,강변아파트삼거리,0,2,0
25245,보건환경연구원(단),0,4,0
25245,갑천네거리,0,5,0
25245,구성삼거리,0,2,0
25245,과기원삼거리,0,2,0
25245,카이스트교삼거리,0,1,0
25245,갑천(단),0,2,0
25246,미래부동산삼거리,0,2,0
25246,충대농대삼거리,0,2,0
25246,다솔APT삼거리,0,2,0
25246,유성구청네거리,0,0,0
25246,강변아파트삼거리,0,2,0
25246,보건환경연구원(단),0,4,0
25246,갑천네거리,0,5,0
25246,구성삼거리,0,2,0
25246,과기원삼거리,0,2,0
25246,카이스트교삼거리,0,1,0
25246,갑천(단),0,2,0
25247,미래부동산삼거리,0,2,0
25247,충대농대삼거리,0,2,0
25247,다솔APT삼거리,0,2,0
25247,유성구청네거리,0,0,0
25247,강변아파트삼거리,0,2,0
25247,보건환경연구원(단),0,4,0
25247,갑천네거리,0,5,0
25247,구성삼거리,0,2,0
25247,과기원삼거리,0,2,0
25247,카이스트교삼거리,0,1,0
25247,갑천(단),0,2,0
25248,미래부동산삼거리,0,2,0
25248,충대농대삼거리,0,2,0
25248,다솔APT삼거리,0,2,0
25248,유성구청네거리,0,0,0
25248,강변아파트삼거리,0,2,0
25248,보건환경연구원(단),0,4,0
25248,갑천네거리,0,5,0
25248,구성삼거리,0,2,0
25248,과기원삼거리,0,2,0
25248,카이스트교삼거리,0,1,0
25248,갑천(단),0,2,0
25249,미래부동산삼거리,0,2,0
25249,충대농대삼거리,0,2,0
25249,다솔APT삼거리,0,2,0
25249,유성구청네거리,0,0,0
25249,강변아파트삼거리,0,2,0
25249,보건환경연구원(단),0,4,0
25249,갑천네거리,0,5,0
25249,구성삼거리,0,2,0
25249,과기원삼거리,0,2,0
25249,카이스트교삼거리,0,1,0
25249,갑천(단),0,2,0
25250,미래부동산삼거리,0,2,0
25250,충대농대삼거리,0,2,0
25250,다솔APT삼거리,0,2,0
25250,유성구청네거리,0,0,0
25250,강변아파트삼거리,0,2,0
25250,보건환경연구원(단),0,4,0
25250,갑천네거리,0,5,0
25250,구성삼거리,0,2,0
25250,과기원삼거리,0,2,0
25250,카이스트교삼거리,0,2,0
25250,갑천(단),0,2,0
25251,미래부동산삼거리,0,2,0
25251,충대농대삼거리,0,2,0
25251,다솔APT삼거리,0,2,0
25251,유성구청네거리,0,0,0
25251,강변아파트삼거리,0,2,0
25251,보건환경연구원(단),0,4,0
25251,갑천네거리,0,5,0
25251,구성삼거리,0,2,0
25251,과기원삼거리,0,2,0
25251,카이스트교삼거리,0,2,0
25251,갑천(단),0,2,0
25252,미래부동산삼거리,0,2,0
25252,충대농대삼거리,0,2,0
25252,다솔APT삼거리,0,2,0
25252,유성구청네거리,0,0,0
25252,강변아파트삼거리,0,2,0
25252,보건환경연구원(단),0,4,0
25252,갑천네거리,0,5,0
25252,구성삼거리,0,2,0
25252,과기원삼거리,0,2,0
25252,카이스트교삼거리,0,2,0
25252,갑천(단),0,2,0
25253,미래부동산삼거리,0,2,0
25253,충대농대삼거리,0,2,0
25253,다솔APT삼거리,0,2,0
25253,유성구청네거리,0,0,0
25253,강변아파트삼거리,0,3,0
